Introduction;;;;;;;;;;;;;;;
Leçon 1;;;;;;;;;;;;;;;
Statistiques descriptives;;;;;;;;;;;;;;;
Leçon 2;;;;;;;;;;;;;;;
Intervalles de confiance et stratégies d'échantillonnage;;;;;;;;;;;;;;;
Leçon 3;;;;;;;;;;;;;;;
Tests d'hypothèse sur un seul groupe;;;;;;;;;;;;;;;
Leçon 4;;;;;;;;;;;;;;;
Tests d'hypothèse sur deux groupes;;;;;Labo 1;;;;;;;;;;
15%;;;;;;;;;;;;;;;
Leçon 5;;;;;;;;;;;;;;;
Analyse de fréquences et test du khi carré;;;;;;;;;;;;;;;
Leçon 6;;;;;;;;;;;;;;;
Analyse de variance à un critère;;;;;;;;;;;;;;;
Leçon 7;;;;;;;;;;;;;;;
Analyse de variance à deux critères;;;;;;;;;Labo 2;;;;;;
15%;;;;;;;;;;;;;;;
Leçon 8;;;;;;;;;;;;;;;
Blocs complets aléatoires;;;;;;;;;;;;;;;
Leçon 9;;;;;;;;;;;;;;;
Élaboration et optimisation de plans d'expérience;;;;;;;;;;;;Labo 3;;;
30%;;;;;;;;;;;;;;;
Leçon 10;;;;;;;;;;;;;;;
Régression linéaire simple et corrélation;;;;;;;;;;;;;;;
Examen 40 %;;;;;;;;;;;;;;;40%
